"Y" "X1" "X2" "X3" "X4" "X5" "X6" "X7" "X8" "X9" "X10" "X11" "X12"
"24" 23.6 0.18 1.2 0.05 4.03 3.96 1.5 0.9 0.21 0.31 0.31 1.66 0.05
"25" 32.16 0.45 2.4 0.09 4.35 3.97 1.3 0.86 0.36 0.22 0.6 0.35 0.1
"26" 44.58 0.54 3.46 -0.01 4.72 4.18 1.08 0.66 0.49 0.19 0.51 0 -0.2
"27" 29.5 0.09 2.11 0.46 4.26 3.93 1.32 0.78 0.64 0.15 1.16 0.97 0.55
"28" 42.78 0.17 1.16 0.17 4.67 4.6 1.34 0.76 0.32 0.23 0.55 0.71 0.17
"29" 48.61 0.35 2.75 0.08 4.82 4.38 1.32 0.3 0.21 0.61 0.25 0.56 0.09
"30" 63.07 0.13 1.88 0.34 5.14 4.86 1.71 0.96 0.29 0.3 0.5 0.43 0.37
"31" 26.26 0.13 1.53 0.15 4.14 3.96 1.97 1.33 0.43 0.18 0.85 0 0.19
"32" 59.04 0.59 3.42 0.12 5.06 4.53 0.91 0.58 0.41 0.2 0.57 0.65 0.14
"33" 141.4 0.16 1.11 0.26 6.29 6.25 1.09 0.59 0.67 0.11 0.81 0.47 0.39
"34" 46.59 0.17 2.03 0.23 4.77 4.46 1.45 0.75 0.45 0.27 0.84 0.67 0.26
"35" 136.22 0.43 1.1 0.26 6.23 6.18 1.83 1.17 0.28 0.2 0.43 0.52 0.42
"36" 30.63 0.37 0.66 0.05 4.3 4.47 1.23 0.33 0.47 0.39 0.53 1.83 0.05
"37" 29.91 0.04 1.68 0.23 4.27 4.05 2.35 1.33 0.11 0.39 0.26 0.71 0.24
"38" 68 0.17 1.71 0.25 5.24 5.01 1.88 1.05 0.29 0.31 0.65 0.31 0.32
"39" 22.74 0.02 1.38 0.39 3.99 3.85 1.37 0.66 0.52 0.24 0.82 0.78 0.39
"40" 38.21 0.23 1.49 0.2 4.54 4.37 2.49 1.47 0.32 0.28 0.46 0.58 0.3
"41" 67.49 0.15 2.47 0.16 5.2297 4.8375 1.33 0.54 0.28 0.42 0.36 0.31 0.16
"42" 26.71 0.54 0.64 0.16 4.1495 4.3402 0.93 0.83 0.13 0.04 0.16 0.45 0.26
"43" 75.77 0.49 3.18 0.2 5.3831 4.8811 1.09 0.84 0.43 0.13 0.74 0.5 0.26
"44" 25.92 0.39 1.55 0.08 4.1225 3.9333 1.09 0.5 0.23 0.37 0.5 0.65 0.08
"45" 47.06 0.11 1.56 0.34 4.7795 4.5877 1.74 1.1 0.3 0.2 0.5 0.25 0.34
"46" 26.63 0.19 1.74 0.25 4.1503 3.9086 1.89 1 0.34 0.31 0.38 0.8 0.25
"47" 95.27 0.35 1.39 0.16 5.6998 5.5577 1.38 0.73 0.48 0.22 0.62 0.46 0.25
"48" 34.16 0.39 1.6 0.09 4.4162 4.2128 1.57 0.94 0.26 0.3 0.42 1.03 0.12
"49" 44.28 0.5 1.58 0.04 4.7108 4.5126 1.28 0.74 0.25 0.31 0.33 0 0.04
"50" 36.01 0.41 1.88 0.11 4.4678 4.1928 1.1 0.66 0.17 0.31 0.25 0.25 0.12
"51" 33.46 0.08 1.43 0.33 4.3899 4.2336 1.49 1.06 0.4 0.17 0.71 0.61 0.36
"52" 23.64 0.16 1.55 0.37 4.0253 3.8344 1.38 0.97 0.42 0.17 0.62 0.25 0.37
"53" 19.91 0.13 0.96 0.48 3.8573 3.8764 1 0.61 0.68 0.13 0.97 0.6 0.48
"54" 20.86 0.23 1.09 0.15 3.9068 3.8685 1.23 0.92 0.4 0.15 0.64 0.8 0.18
"55" 64.3 0.27 3.13 0.2 5.1631 4.6669 1.39 0.33 0.21 0.38 0.32 0.39 0.25
"56" 96.24 0 5.44 0.24 5.713 4.9772 1.29 0.24 0.27 0.5 0.38 0.36 0.24
"57" 44.54 0.11 2.51 0.09 4.7114 4.3123 1.34 0.86 0.09 0.31 0.13 0.53 0.09
"58" 43.04 0.55 1.51 0.05 4.6763 4.4972 1.14 0.44 0.24 0.42 0.4 0 0.06
"59" 37.81 0 0.45 0.6 4.5233 4.8709 1.21 1.18 0.57 0.01 0.58 0.21 0.6
"60" 55.71 0.28 3.82 0.09 4.9876 4.4058 1.28 0.34 0.34 0.46 0.5 1.52 0.1
"61" 30.29 0.28 2.07 0.11 4.2837 3.9679 1.36 0.67 0.26 0.37 0.32 0.22 0.12
"62" 46.11 0.46 2.79 -0.04 4.7616 4.3153 1.11 0.72 0.19 0.28 0.32 0 -0.04
"63" 29.35 0 2.34 0.23 4.2468 3.8779 1.83 1.2 0.21 0.27 0.26 0.53 0.23
"64" 34.1 0.2 1.07 0.3 4.4106 4.3829 2.72 1.77 0.24 0.24 0.36 0.42 0.4
"65" 33.66 0.66 1.08 0.21 4.3984 4.3634 0.58 0.29 0.7 0.15 1.07 0 0.3
"66" 49.16 0.11 2.46 0.07 4.8314 4.4399 0.88 0.88 0.17 0 0.22 0.67 0.07
"67" 28.15 0.33 1.47 0.28 4.205 4.0364 0.91 0.77 0.53 0.07 1.16 0.21 0.33
"68" 31.18 0.3 1.38 0.14 4.3139 4.1727 1.28 0.49 0.25 0.42 0.33 0.52 0.16
"69" 54.08 0.35 1.21 0.1 4.951 4.8675 2.36 1.44 0.31 0.27 0.51 1.08 0.18
"70" 87.24 0.19 1.36 0.14 5.5754 5.4405 1.35 0.96 0.22 0.22 0.36 0.4 0.15
"71" 46.76 0.21 0.81 0.35 4.7722 4.8638 3.98 2.63 0.21 0.26 0.34 0.51 0.63
"72" 56.29 0.3 1.48 0.2 4.9993 4.8282 0.54 0.26 0.72 0.09 0.74 0.53 0.27
"73" 27.29 0.18 1.83 0.07 4.1786 3.9151 1.57 1.08 0.28 0.23 0.54 4.21 0.07
"74" 99.41 0.13 0.96 0.12 5.7613 5.7801 1.4 0.57 0.12 0.28 0.21 0.43 0.15
"75" 94.46 0.23 1.14 0.14 5.6884 5.6334 1.56 0.83 0.33 0.23 0.52 0.12 0.18
"76" 47.5 0.05 2.35 0.12 4.7908 4.42 1.42 0.8 0.04 0.37 0.07 0.33 0.13
"77" 81.8 0.22 1.37 0.13 5.4876 5.3501 1.73 0.75 0.26 0.41 0.52 0.53 0.17
"78" 24.82 0.19 1.64 0.14 4.08 3.87 1.57 0.74 0.17 0.34 0.27 0.91 0.14
"79" 21.99 0.68 0.77 -0.22 3.9671 4.0802 1.45 0.6 0.62 0.19 0.71 0 -0.46
"80" 23.64 1.78 3.21 -1.28 4.0554 3.5485 1.06 0.5 0.16 0.37 0.3 0 -1.28
